monad-bayes-0.1.0.0: benchmarks
Running 1 benchmarks...
Benchmark monad-bayes-bench: RUNNING...

model,reference,algorithm,sampler,test,1024,8064,15104,22144,29184,36224,43264,50304,57344,64384
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.8742430822428104e-2,2.02055042675285e-3,1.0357572883100128e-3,1.2768128931362624e-3,8.994604723424536e-4,5.535334969333817e-4,4.3355986483772777e-4,3.5393311147454646e-4,2.4935838965069055e-4,2.442146186790558e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.5928444314129313e-2,4.663948166827678e-3,3.417205177458821e-3,2.4673654745438335e-3,1.6035052355132216e-3,1.3840609309080736e-3,8.108667002776421e-4,7.481501722714338e-4,6.795353137697937e-4,6.049894889748025e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.2747379251346483e-2,1.2573967049566944e-3,6.122621846523391e-4,3.7524674502690424e-4,4.0146653033776075e-4,4.2836477516308523e-4,3.6833432815536166e-4,3.605428559480293e-4,3.1464432265146684e-4,2.6405445623586284e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.5959396848422488e-2,3.769315739382914e-3,3.6190601595398153e-3,2.5934701018307787e-3,1.1494378518819113e-3,7.072012370502141e-4,4.2825551037523524e-4,4.403710564400217e-4,5.366473816122022e-4,4.337089485544309e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.366418016892235e-2,1.483576549274051e-3,1.5035824561883296e-3,1.2791253043214067e-3,1.247932818777206e-3,6.247138991007379e-4,6.86929919359581e-4,5.250979174503403e-4,2.5472458822488233e-4,2.442606276996652e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.372568036133775e-2,2.8921086066108974e-3,1.4101185928483788e-3,5.909054986519592e-4,5.150470169017555e-4,3.683430585042919e-4,4.6841907556237507e-4,4.7665881671716257e-4,4.8304878748977654e-4,3.551514501319924e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.5030631370075103e-2,1.3453058629690085e-3,1.4893796195348545e-3,7.57763710355954e-4,6.830436218524479e-4,5.792728443344292e-4,5.190587749260079e-4,4.7213881668220096e-4,3.829648020230082e-4,3.8488583783665163e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.1652511644529332e-2,2.123063818108274e-3,9.266057295283376e-4,8.046331725648139e-4,4.446789904620994e-4,3.706418940371556e-4,2.522871188308066e-4,1.88487950789175e-4,1.8139128859551355e-4,2.1973954593212998e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.318052577817429e-2,2.2546715976203076e-3,1.2781530570932507e-3,1.5329591853981677e-3,1.1028743616542083e-3,1.0858317107960381e-3,7.375966111273745e-4,5.453310180914717e-4,4.95422896456192e-4,4.362061750590552e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.2167558783336816e-2,2.421702656797253e-3,8.972261078501135e-4,1.497570763665194e-3,1.0421766134680367e-3,6.231062531373401e-4,4.628920524902989e-4,3.1209720866062085e-4,3.38184307446218e-4,3.565610733520281e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.1336056636190714e-2,1.8218713947212907e-3,1.3460512207260072e-3,7.08779729012426e-4,5.716681725544018e-4,5.010643184992299e-4,4.992539304339627e-4,3.4218785056191315e-4,3.0419933112620236e-4,2.241268068330045e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.5039293712629255e-2,2.0485118506493516e-3,1.3006789016561356e-3,7.121853435714066e-4,3.9743300609859633e-4,2.7516707665631643e-4,3.228802566782914e-4,3.0512641892537466e-4,2.1249866161578902e-4,1.9144350870861122e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.5000614220657878e-2,3.1943010218482407e-3,1.0165066715185581e-3,6.594171837234747e-4,5.675803715334401e-4,3.686645167936116e-4,3.5273388561996407e-4,3.834865587471631e-4,3.621981893670025e-4,3.6283564584187243e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.9281468436704233e-2,1.140376196285396e-3,9.437870011469513e-4,5.767957550726584e-4,4.8377180130023306e-4,3.228284674474454e-4,3.3359070104910986e-4,2.883286635857709e-4,2.507515320440025e-4,1.959909052306628e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.945319610023777e-2,2.4300189390103863e-3,1.100811292452334e-3,9.598343736168949e-4,7.590472490066341e-4,5.729124497953399e-4,5.132899424567251e-4,4.903520789107353e-4,4.4416954296412484e-4,4.1953521613138635e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.3880091654053987e-2,2.2055198573159894e-3,1.1132393101188475e-3,6.438307511818526e-4,7.14066317902769e-4,4.888567264332262e-4,3.93503431833632e-4,3.362008368141865e-4,2.6781563934986816e-4,1.9701922789111884e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.725615809912838e-2,2.7026510760308716e-3,7.358222311397795e-4,7.426702162184652e-4,4.358496289763301e-4,3.3528560797175025e-4,2.1360156462409903e-4,1.9723806582370583e-4,1.7192751146506425e-4,1.72414232045945e-4
